NOMREG;NOMDEP;NOM DU MUSEE;ADR;CP;VILLE;SITWEB
BOURGOGNE;NIÈVRE;Musée d'Art et d'Histoire Romain Rolland;Avenue de la République;58500;CLAMECY;www.musees-bourgogne.org
BOURGOGNE;NIÈVRE;Musée de la Loire de Cosne sur Loire;Place de la Résistance;58200;COSNE-SUR-LOIRE;www.mairie-cosnessurloire.fr/Services/MUSEEE/ACCUEIL.htm
BOURGOGNE;NIÈVRE;Musée Municipal;33, Rue des Chapelains;58400;LA CHARITE-SUR-LOIRE;Site de l'OTSI ou des musées de Bourgogne
BOURGOGNE;NIÈVRE;Musée de la Mine;1, Avenue de la République;58260;LA MACHINE;www.cc-loire-foret.fr ou www.cg58.fr et Site des musées de Bourgogne
BOURGOGNE;NIÈVRE;Musée Archéologique du Nivernais (Porte du Croux);"Société Nivernaise des Lettres et Sciences et Arts
Rue de la Porte du Croux";58000;NEVERS;Conseil général
BOURGOGNE;NIÈVRE;Musée de la Faïence Frédéric Blandin;16, rue Saint-Genest;58000;NEVERS;www.musee-faience.nevers.fr
BOURGOGNE;NIÈVRE;Musée Ernest Guédon;17, quai Jules-Pabiot;58150;POUILLY-SUR-LOIRE;
BOURGOGNE;NIÈVRE;Musée du Grès de Puisaye;Château de Saint-Amand;58310;SAINT-AMAND-EN-PUISAYE;www.cg58.fr - Site musées de Bourgogne
BOURGOGNE;NIÈVRE;Musée Auguste Grasset;Place de la Mairie;58210;VARZY;www.cg58.fr ou www.musees-bourgogne.org
BOURGOGNE;SAONE ET LOIRE;Museum d'Histoire Naturelle Jacques de La Comble;14, Rue Saint-Antoine;71400;AUTUN;www.autun.com/tourisme/museum.php
BOURGOGNE;SAONE ET LOIRE;Musée Lapidaire Saint-Nicolas;Rue Saint Nicolas;71400;AUTUN;
BOURGOGNE;SAONE ET LOIRE;Musée Rolin;5, rue des Bancs;71400;AUTUN;www.autun.com ou Site des musées de Bourgogne
BOURGOGNE;SAONE ET LOIRE;Musée Verger Tarin;Rue des Sous-Chantres;71400;AUTUN;
BOURGOGNE;SAONE ET LOIRE;Musée de la Mine;34, rue du Bois Clair;71450;BLANZY;www.ecomusee-creusot-montceau.fr Site des musées de Bourgogne et de l'écomusée
BOURGOGNE;SAONE ET LOIRE;Musée Saint-Nazaire;Rue St Nazaire;71140;BOURBON-LANCY;Site des musées de Bourgogne ou www.bourbon-lancy.com/musees_fr_02_07_02.html
BOURGOGNE;SAONE ET LOIRE;Musée Nicéphore Niepce;28, Quai des Messageries;71100;CHALON-SUR-SAONE;www.museeniepce.com
